step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
4,Brandenburg,2015-07-05,2015-08-02,-0.0331760931246543,-2.06603431158895,-1.79224976546217,-0.689762569294762,0.617951081962976,1.54170186300738,1.85022193757619,0
5,Brandenburg,2015-07-05,2015-08-09,0.276027655127266,-1.72695246671381,-1.38842905276906,-0.37962288093488,0.945609251375154,2.04617158511037,2.35014290092679,0
6,Brandenburg,2015-07-05,2015-08-16,-0.172047006038492,-2.10918817894954,-1.80361998373874,-0.863387898189789,0.470828561911798,1.41311267307205,1.80385898965243,0
1,Bremen,2015-07-05,2015-07-12,-0.0259258416644937,-1.90638078908711,-1.66826328443217,-0.720223655330499,0.643712964883715,1.6927491371802,1.97687721745372,0
2,Bremen,2015-07-05,2015-07-19,-0.0113809184993858,-2.17510047164005,-1.65266367349275,-0.694594916742854,0.642191013322071,1.5108301596129,1.8611255479015,0
3,Bremen,2015-07-05,2015-07-26,-0.0424878089753529,-1.80063679720994,-1.50601371129252,-0.692125695146621,0.591921191752603,1.55206543214292,1.92331836295647,0
4,Bremen,2015-07-05,2015-08-02,-0.166591983350749,-2.10038433939852,-1.74894350399913,-0.830167241902981,0.488905058765884,1.46421410111002,1.86650728686527,0
5,Bremen,2015-07-05,2015-08-09,0.147499838306898,-1.79878449741904,-1.56408584626743,-0.514515189460593,0.764456412015782,1.70854614729897,2.09909126737135,0
6,Bremen,2015-07-05,2015-08-16,0.0441654878469982,-1.92889325668957,-1.64851879418131,-0.701026204637621,0.686861004167671,1.67903174441372,1.97600817066818,0
1,Hamburg,2015-07-05,2015-07-12,0.0410145459472354,-1.95922258048821,-1.6676097885029,-0.731257856547635,0.702661622902358,1.69166873287094,2.01461051830246,0
2,Hamburg,2015-07-05,2015-07-19,0.0258493559291003,-2.04929005951365,-1.68774680621615,-0.706478126202941,0.731028801116325,1.67999577872175,2.00352569754613,0
3,Hamburg,2015-07-05,2015-07-26,-0.0131065928450919,-1.8591470126314,-1.60447157175038,-0.639417318657373,0.703406366312213,1.64223333219313,2.02611853196317,0
4,Hamburg,2015-07-05,2015-08-02,-0.0253764417230163,-1.89161146388637,-1.6843177231012,-0.714413041365127,0.664566926960011,1.67511722134481,1.98696873607706,0
5,Hamburg,2015-07-05,2015-08-09,0.636499685906151,-1.35868328652934,-0.982379511652207,0.0152443807878544,1.3236581161444,2.36283123333059,2.74151587462165,0
6,Hamburg,2015-07-05,2015-08-16,-0.128633014144056,-2.06165102857966,-1.83766229700153,-0.831109888746208,0.621776550423118,1.57055061782506,1.877456194737,0
1,Hesse,2015-07-05,2015-07-12,0.0177611345006457,-2.04873890545365,-1.596088413962,-0.677466551504946,0.672117402746794,1.60855655844763,1.86375366761661,0
